cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2018-11798,snyk-code,true,,OK,true,true,true,true,false,false,false,false,true,6,11,11,null,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2018-13797,codeql,true,,OK,true,true,true,true,true,true,true,true,true,2,0,0,true,CWE-078,CWE-078|CWE-088
CVE-2018-13797,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-078,CWE-078|CWE-088
CVE-2018-13797,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
CVE-2018-13863,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,234,234,true,CWE-400,CWE-730|CWE-400
CVE-2018-13863,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2018-13863,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2018-14040,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-14040,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-14040,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2018-14041,codeql,true,,OK,true,true,true,true,true,false,false,false,true,3,8,8,true,CWE-079,CWE-079|CWE-116
CVE-2018-14041,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-14041,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2018-14042,codeql,true,,OK,true,true,true,true,true,false,false,false,true,2,102,102,true,CWE-079,CWE-079|CWE-116
CVE-2018-14042,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-14042,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2018-14380,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-14380,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2018-14380,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2018-16460,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-078,CWE-078|CWE-088
CVE-2018-16460,semgrep,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-078,CWE-078|CWE-088
CVE-2018-16460,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
